6.519840564578771591e-03,-6.418515462428331375e-03,7.501100897789001465e-01,6.408401578664779663e-02,-1.058301106095314026e-01,5.329649448394775391e-01,8.370433449745178223e-01,-1.019999980926513672e-01,-1.019999980926513672e-01,1.019999980926513672e-01,-9.330914740158219397e-19,-4.081131890416145325e-02,9.391202032566070557e-02,1.019999980926513672e-01,1.019999980926513672e-01,9.031249582767486572e-02,5.738421529531478882e-02,-3.170081973075866699e-02,-3.084237687289714813e-02,-5.910326167941093445e-02,8.221744745969772339e-02,4.986317455768585205e-02,5.202504619956016541e-02,1.019999980926513672e-01,1.019999980926513672e-01,-1.019999980926513672e-01,-1.019999980926513672e-01,-1.019999980926513672e-01,1.019999980926513672e-01,-1.019999980926513672e-01
6.412714254111051559e-03,-6.154733244329690933e-03,7.501584887504577637e-01,6.680582463741302490e-02,-1.107128411531448364e-01,5.327481031417846680e-01,8.363367319107055664e-01,-1.319161802530288696e-01,-1.488636285066604614e-01,2.039999961853027344e-01,3.156383491930363528e-18,-4.675357788801193237e-02,1.081939116120338440e-01,2.039999961853027344e-01,1.623335182666778564e-01,1.035675629973411560e-01,6.495853513479232788e-02,-3.591069206595420837e-02,-3.495468944311141968e-02,-6.776953488588333130e-02,1.050730794668197632e-01,5.723441392183303833e-02,6.762154400348663330e-02,2.039999961853027344e-01,2.039999961853027344e-01,-2.039999961853027344e-01,-1.111151352524757385e-01,-2.039999961853027344e-01,2.039999961853027344e-01,-2.039999961853027344e-01
6.501318421214818954e-03,-5.983929149806499481e-03,7.502219080924987793e-01,6.753896176815032959e-02,-1.119413599371910095e-01,5.326775908470153809e-01,8.361591696739196777e-01,-1.337393373250961304e-01,-1.558688580989837646e-01,3.058949112892150879e-01,-2.591920818598159038e-18,-4.759030416607856750e-02,1.101337149739265442e-01,2.709264159202575684e-01,1.713945716619491577e-01,1.054655835032463074e-01,6.557817757129669189e-02,-3.602186962962150574e-02,-3.512206673622131348e-02,-6.885106861591339111e-02,1.114217713475227356e-01,5.829541757702827454e-02,7.441332191228866577e-02,3.059999942779541016e-01,3.059999942779541016e-01,-2.787536382675170898e-01,-9.729639440774917603e-02,-3.059999942779541016e-01,3.059999942779541016e-01,-3.059999942779541016e-01
6.505252793431282043e-03,-5.663038697093725204e-03,7.502825856208801270e-01,6.777846068143844604e-02,-1.124127879738807678e-01,5.327696800231933594e-01,8.360179066658020020e-01,-1.328377723693847656e-01,-1.570669859647750854e-01,3.209917843341827393e-01,-6.131332774713039690e-18,-4.780808463692665100e-02,1.103268116712570190e-01,2.823677062988281250e-01,1.727040708065032959e-01,1.056389957666397095e-01,6.529992073774337769e-02,-3.561779111623764038e-02,-3.466213494539260864e-02,-6.847635656595230103e-02,1.136372461915016174e-01,5.847806110978126526e-02,7.701123505830764771e-02,3.281083703041076660e-01,4.079999923706054688e-01,-2.930333018302917480e-01,-7.907903939485549927e-02,-4.079999923706054688e-01,4.079999923706054688e-01,-4.079999923706054688e-01
6.504921708256006241e-03,-5.422271788120269775e-03,7.503271698951721191e-01,6.711529940366744995e-02,-1.115659624338150024e-01,5.328852534294128418e-01,8.361111283302307129e-01,-1.343245655298233032e-01,-1.572613418102264404e-01,3.231150507926940918e-01,-1.864311038305436378e-18,-4.776979982852935791e-02,1.103322058916091919e-01,2.826018035411834717e-01,1.729275882244110107e-01,1.056586876511573792e-01,6.502486020326614380e-02,-3.505346179008483887e-02,-3.421549126505851746e-02,-6.779689341783523560e-02,1.124800518155097961e-01,5.891634151339530945e-02,7.759906351566314697e-02,3.307589888572692871e-01,5.099999904632568359e-01,-2.962829470634460449e-01,-4.821976646780967712e-02,-5.099999904632568359e-01,5.099999904632568359e-01,-5.099999904632568359e-01
6.541380193084478378e-03,-5.259768106043338776e-03,7.503649592399597168e-01,6.616362929344177246e-02,-1.101685836911201477e-01,5.330353975296020508e-01,8.362765908241271973e-01,-1.372949182987213135e-01,-1.573108434677124023e-01,3.233192861080169678e-01,3.452006469123393015e-18,-4.753881320357322693e-02,1.102956682443618774e-01,2.798818647861480713e-01,1.730067431926727295e-01,1.058509051799774170e-01,6.507041305303573608e-02,-3.463490307331085205e-02,-3.389812633395195007e-02,-6.674896180629730225e-02,1.096378490328788757e-01,5.947413295507431030e-02,7.207969576120376587e-02,3.347953557968139648e-01,6.119999885559082031e-01,-2.909931540489196777e-01,-1.639247871935367584e-02,-6.119999885559082031e-01,6.119999885559082031e-01,-6.119999885559082031e-01
6.493938155472278595e-03,-5.113332066684961319e-03,7.504035830497741699e-01,6.512027978897094727e-02,-1.085813418030738831e-01,5.330820083618164062e-01,8.365362882614135742e-01,-1.408844441175460815e-01,-1.573526710271835327e-01,3.237035572528839111e-01,-1.530241223228825010e-18,-4.731835424900054932e-02,1.101154536008834839e-01,2.762106955051422119e-01,1.729507297277450562e-01,1.062485873699188232e-01,6.533521413803100586e-02,-3.426978737115859985e-02,-3.364006057381629944e-02,-6.476958096027374268e-02,1.056479215621948242e-01,5.988824367523193359e-02,5.704417079687118530e-02,3.450495600700378418e-01,6.432068347930908203e-01,-2.741924524307250977e-01,1.348817348480224609e-02,-6.876803040504455566e-01,7.139999866485595703e-01,-7.139999866485595703e-01
6.281012669205665588e-03,-4.824528936296701431e-03,7.504411339759826660e-01,6.425043195486068726e-02,-1.073417440056800842e-01,5.331432223320007324e-01,8.367245197296142578e-01,-1.438519954681396484e-01,-1.575477570295333862e-01,3.239571750164031982e-01,3.100225372963525926e-19,-4.708580300211906433e-02,1.100879982113838196e-01,2.729654312133789062e-01,1.727651208639144897e-01,1.064484417438507080e-01,6.597005575895309448e-02,-3.410965204238891602e-02,-3.336497768759727478e-02,-6.252413243055343628e-02,1.020107194781303406e-01,6.017617881298065186e-02,4.258920252323150635e-02,3.545281887054443359e-01,6.427186727523803711e-01,-2.583889365196228027e-01,4.785746708512306213e-02,-7.323467731475830078e-01,8.159999847412109375e-01,-8.159999847412109375e-01
6.377708632498979568e-03,-4.784315824508666992e-03,7.504883408546447754e-01,6.353851407766342163e-02,-1.059854775667190552e-01,5.330899357795715332e-01,8.369857072830200195e-01,-1.468231081962585449e-01,-1.576691567897796631e-01,3.240156769752502441e-01,-5.207889018374153419e-18,-4.676972702145576477e-02,1.100013256072998047e-01,2.697927951812744141e-01,1.725614815950393677e-01,1.068779304623603821e-01,6.638900190591812134e-02,-3.380892053246498108e-02,-3.315950185060501099e-02,-6.005236133933067322e-02,9.869913756847381592e-02,6.013589352369308472e-02,2.785888500511646271e-02,3.648880124092102051e-01,6.363555788993835449e-01,-2.424722015857696533e-01,7.831718027591705322e-02,-7.633009552955627441e-01,9.179999828338623047e-01,-9.179999828338623047e-01
6.359094753861427307e-03,-4.613874014467000961e-03,7.505341172218322754e-01,6.298356503248214722e-02,-1.051672846078872681e-01,5.332283973693847656e-01,8.370426297187805176e-01,-1.488304585218429565e-01,-1.578005254268646240e-01,3.237219750881195068e-01,-1.278248921420670659e-18,-4.637629911303520203e-02,1.099877431988716125e-01,2.677327692508697510e-01,1.725074797868728638e-01,1.069026887416839600e-01,6.657396256923675537e-02,-3.341371193528175354e-02,-3.291673958301544189e-02,-5.920793116092681885e-02,9.671866148710250854e-02,6.048741564154624939e-02,2.029276452958583832e-02,3.696898818016052246e-01,6.334718465805053711e-01,-2.346125841140747070e-01,1.071383655071258545e-01,-7.943409681320190430e-01,9.812638163566589355e-01,-1.019999980926513672e+00
